N,Name,Image,Art,Type 1,Type 2,Class,Ability 1,Ability 2,Ability H,HP,Atk,Def,Spa,Spd,Spe,BST,Pre-Evo,Evolution,Evo Data,Tag,Form Name,Gender Rate,Growth Rate,Exp,EHP,EAtk,EDef,ESpa,ESpd,ESpe,Catch,Happy,Hatch,Egg Group 1,Egg Group 2,Height,Weight,Color,Habitat,Moves,Pokedex,Locale
116,Elemur,https://i.imgur.com/Cz1FPDH.png,http://fav.me/ddbx3am,Electric,,Friction,Own Tempo,,Galvanize,41,57,39,70,38,55,299,,Gleemur,,3base,,Female50Percent,,,,,,,,,,70,5355,Field,,,,Gray,Grassland,,"Elemur stores electricity in its tail, which charges when it rubs its cotton end against something. It can pulse this electricity from its hands, feet, and even between its ears.",
117,Gleemur,https://i.imgur.com/vuTZU8R.png,,Electric,,Rowdy,Noise Maker,,Galvanize,54,77,52,94,50,73,399,Elemur,Skreemur,,3mid,,Female50Percent,,,,,,,,,,70,5355,Field,,,,Gray,Grassland,,"Gleemur utilizes its electricity in the form of screaming, which it uses to communicate with others from far distances. Its tail can be whipped around like a charged flail.",
118,Skreemur,https://i.imgur.com/tVU1wAf.png,,Electric,,Rumble,Noise Maker,,Galvanize,72,102,69,125,67,97,532,Gleemur,,,3final,,Female50Percent,,,,,,,,,,70,5355,Field,,,,Gray,Grassland,,"Skreemur have voices so strong that sometimes they hurt themselves. A special organ exists in its throat that amplifies its voice, powered by the electricity from its tail.",
119,Headrake,https://i.imgur.com/VEUP8iZ.png,http://fav.me/dddeue9,Dragon,Fighting,Royal,Adaptability,Reckless,Rock Head,80,110,90,60,80,80,500,,,,1,Orenti,Female50Percent,,,,,,,,,,70,5355,Dragon,,,,Red,,,"Headrake originate from a distant, foreign region. After being crossbred with the native Dragon-Types, it has developed fighting prowess, alongside a lustrous, golden horn.",
120,Budifoal,,,Grass,,Bloom,Natural Cure,,,55,63,44,67,65,63,357,,Bloomare,24,2base,,Female50Percent,,,,,,,,,,70,5355,Field,,,,,,,"Budifoal are born with a mane of made of flowers, which never stop growing. These flowers only bloom when the environment they live in is clean and pure.",
121,Bloomare,,,Grass,,Bloom,Natural Cure,,,92,70,65,115,86,76,504,Budifoal,,,2final,,Female50Percent,,,,,,,,,,70,5355,Field,,,,,,,"A Bloomare's source of energy comes from its flowers, called [Flower]. When a Bloomare is calm and happy, the flowers will bloom into the colors of the rainbow.",
122,Bronxy,https://cdn.discordapp.com/attachments/369546332568027148/658846192205168641/1577151540178.png,https://cdn.discordapp.com/attachments/369546332568027148/658846192205168641/1577151540178.png,Fighting,,Horn,Adrenaline,,,55,67,65,63,44,63,357,,Behemox,24,2base,,Female50Percent,,,,,,,,,,70,5355,Field,,,,,,,"Hardy and unfearing, Bronxy will carry on tasks asked of them. Despite their appearance, they are naturally reserved, and tend to help as farmhands.",
123,Behemox,https://cdn.discordapp.com/attachments/369546332568027148/658846192205168641/1577151540178.png,https://cdn.discordapp.com/attachments/369546332568027148/658846192205168641/1577151540178.png,Fighting,,Horn,Adrenaline,,,92,115,86,70,65,76,504,Bronxy,,,2final,,Female50Percent,,,,,,,,,,70,5355,Field,,,,,,,"The giant horns of a Behemox can survive blows that would otherwise shatter buildings. When enraged, they will pursue their target to the ends of the earth.",
124,Remuddy,https://cdn.discordapp.com/attachments/369546332568027148/645502899895402496/1573970265693.png,https://cdn.discordapp.com/attachments/369546332568027148/645502899895402496/1573970265693.png,Ground,,Mud,,,,172,62,65,62,63,34,458,,,,1,,Female50Percent,,,,,,,,,,70,5355,Field,,,,,,,A Remuddy's sweat combined with dirt creates a medical mud that treats all sorts of problems. They are often enlisted by Pokemon Centers to lend a helping hand.,
125,Bobbait,,,Flying,Normal,Cloud,Clear Body,,,,,,,,,0,,Hookila-Orenti,,2base,Orenti,Female50Percent,,,,,,,,,,70,5355,Water 2,Monster,,,,,,"After a mutation that caused it to be lighter than air, Orentian Bobbait have been able to live outside of the dangerous waters, and inside the more peaceful clouds in the sky.",
126,Hookila,,,Flying,Steel,Rainbow,Clear Body,,,,,,,,,0,Bobbait-Orenti,,,2final,Orenti,Female50Percent,,,,,,,,,,70,5355,Water 2,Monster,,,,,,"Orentian Hookila fish from the skies after a storm, luring prey with its dazzling rainbow tail. Those that are hooked onto the lights are flung into the sky, never to be seen again.",
127,Crestendo,https://i.imgur.com/cxwWjK3.png,https://media.discordapp.net/attachments/369546332568027148/659917250471526402/1577406895679.png?width=436&height=677,Rock,Fairy,Noisy,,,,,,,,,,0,,Melodyna,,2base,,Female50Percent,,,,,,,,,,70,5355,Monster,Dragon,,,,,,Crestendo will cry louder and louder whenever its upset. A small nest of them have enough unbearable force to drive away even the largest predators.,
128,Melodyna,https://i.imgur.com/1X3k9fW.png,https://media.discordapp.net/attachments/369546332568027148/659917250471526402/1577406895679.png?width=436&height=677,Rock,Fairy,Song,Symphony,,,76,68,62,134,63,92,495,Crestendo,,,2final,,Female50Percent,,,,,,,,,,70,5355,Monster,Dragon,,,,,,Melodyna can calm even the grouchiest person with its song. A community of Melodyna can construct an orchestratal piece on par with that of human musicians.,
129,Corraptor,https://i.imgur.com/laLxRUX.png,https://media.discordapp.net/attachments/369546332568027148/659917250471526402/1577406895679.png?width=436&height=677,Rock,Poison,Toxic,,,,,,,,,,0,,Nefaraptor,,2base,,Female50Percent,,,,,,,,,,70,5355,Monster,Dragon,,,,,,"Corraptor grow up alone, often hatching with no parents to guide them. Its poison breaths are potent enough to stun a grown man, giving them time to flee encounters.",
130,Nefaraptor,https://i.imgur.com/0in8Du7.png,https://media.discordapp.net/attachments/369546332568027148/659917250471526402/1577406895679.png?width=436&height=677,Rock,Poison,Toxic,Lagging Venom,,,75,121,60,67,58,114,495,Corraptor,,,2final,,Female50Percent,,,,,,,,,,70,5355,Monster,Dragon,,,,,,"Nefaraptor rely on underhanded tactics in battle, likely stemmed from their primal instincts. Inhaling a poison breath from a Nefaraptor can paralyse a man for a whole day.",
131,Puffrost,,,Ice,,Frost,Frost Fur,,,,,,,,,0,,Wulfrost,,2base,,Female50Percent,,,,,,,,,,70,5355,Field,,,,,,,"Puffrost uses the camouflage of its white body to blend in with the snow. However, since it's not a good hunter, it usually has a hard time trying to pounce its prey.",
132,Wulfrost,,,Ice,Dark,Frost,Frost Fur,,,72,103,72,83,84,108,522,Puffrost,,,2final,,Female50Percent,,,,,,,,,,70,5355,Field,,,,,,,"Wulfrost are the apex predator within the icey mountain forests of Orenti. Their fur is so cold that it freezes the air instantly wherever they roam, leaving behind frost.",
133,Navarit,,,Rock,,Stone,,,,,,,,,,0,,,,1,,Genderless,,,,,,,,,,70,5355,Mineral,,,,,,,"Navarit are living chunks of Navarite, which seem to owe their sentience to micriscopic organisms within it that act as neurons. They are mindlessly attracted to Navarite Shards.",
134,Fereeze,https://i.imgur.com/Aj6j8Ay.png,https://cdn.discordapp.com/attachments/727558323741655041/739350855794425876/feret.png,Ice,,Fur,,,,66,80,64,74,64,103,451,,,,1,,Female50Percent,,,,,,,,,,70,5355,Field,,,,Blue,,,Fereeze are able to control the temperature of objects by wrapping themselves around it like a scarf. They are often used as such by the people in cold climates.,
135,Damprune,https://media.discordapp.net/attachments/369546332568027148/710715864781029438/1589518207494.png?width=577&height=677,,Rock,Grass,Solid Rock,,,,,,,,,,0,,Driftwig-Orenti,,3base,Orenti,Female50Percent,,,,,,,,,,70,5355,Grass,Water 1,,,,,,"Long ago, Damprune that had swept onto the beaches of Orenti began utilizing clay to mold ""pots"" to hide in. Their heavy pots must be remade every so often.",
136,Driftwig,https://media.discordapp.net/attachments/369546332568027148/710715864781029438/1589518207494.png?width=577&height=677,,Rock,Grass,Dry Skin,Contrary,Chlorophyll,,,,,,,,0,Damprune-Orenti,Oakraken-Orenti,,3mid,Orenti,Female50Percent,,,,,,,,,,70,5355,Grass,Water 1,,,,,,"Orentian Driftwig have an instinct to orient itself upside down. This behaviour has led small buds to grow at its branches, unlike the Driftwig in other regions.",
137,Oakraken,https://media.discordapp.net/attachments/369546332568027148/710715864781029438/1589518207494.png?width=577&height=677,,Rock,Grass,Dry Skin,Contrary,Chlorophyll,,,,,,,,0,Driftwig-Orenti,,,3final,Orenti,Female50Percent,,,,,,,,,,70,5355,Grass,Water 1,,,,,,"It is rare to find an Orentian Oakraken in the wild, due to its finicky requirements and needs. It is normally docile as well, until it flips itself over to reveal its true look.",
138,Pandit,https://i.imgur.com/VB2HZ9M.png,,Dark,Fighting,Thieving,,,,,,,,,,0,,Bearglar,,2base,,Female50Percent,,,,,,,,,,70,5355,Field,,,,Black,Urban,,"Pandit work together as a single entity, under a guiding Bearglar. One Pandit tends to distract unsuspecting passersby near them, while the others steal their belongings.",
139,Bearglar,https://i.imgur.com/enIgA4b.png,,Dark,Fighting,Thieving,,,,,,,,,,0,Pandit,,,2final,,Female50Percent,,,,,,,,,,70,5355,Field,,,,Black,Urban,,"Bearglar have large, bushy tails, which it uses to store all sorts of stolen goods. Their large, bumbling looks is just a facade, as they are actually quite mischevious and cunning.",
138,Monana,https://i.imgur.com/TAWozGc.png,http://fav.me/dbgt6m1,Normal,Grass,Fruit Monkey,Harvest,,Gluttony,,,,,,,0,,Kabukey,35,2base,,Female50Percent,,,,,,,,,,70,5355,Field,Humanlike,,,Pink,Forest,,"Each colony of Monana own a single Nanab Tree, which it shares among its members. They are known to throw these Nanab Berries at intruders they don't like.",
139,Kabukey,https://i.imgur.com/OluDEcY.png,http://fav.me/dbgt6m1,Normal,Grass,Petal Monkey,Harvest,,Gluttony,,,,,,,0,Monana,,,2final,,Female50Percent,,,,,,,,,,70,5355,Field,Humanlike,,,Pink,Forest,,"Kabukey like to mimic humans, to the point where it dips into uncanniness. In ancient times, they were believed to have danced alongside humans in festivals.",
140,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,70,5355,,,,,,,,,
144,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,70,5355,,,,,,,,,
145,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,70,5355,,,,,,,,,
146,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,70,5355,,,,,,,,,
147,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,70,5355,,,,,,,,,
148,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,70,5355,,,,,,,,,
149,Jinghoul,https://i.imgur.com/nDFbRpv.png,http://fav.me/dbo22nf,Psychic,Normal,Ritual,Beast Boost,,,,,,,,,0,,,,L,,Genderless,,,,,,,,,,0,5355,Undiscovered,,,,Yellow,Rare,,"Coming from Ultra Space, its routine dancing and song are a mystery. Those that hear its mystical jingles will suddenly find themselves playing alongside it.",Event
150,Azuryx,,,Grass,Ghost,Regrowth,Spring Tide,,,,,,,,,0,,,,L,,Genderless,,,,,,,,,,0,5355,Undiscovered,,,,,Rare,,"As the spirit of Spring, the awakening of an Azuryx brings forth an accelerated growth of flora. Their control over nature allows it to revive deprecated forests lost to Winter.",Legend
151,Vermilyx,,,Fire,Ghost,Heat,Summer Tide,,,,,,,,,0,,,,L,,Genderless,,,,,,,,,,0,5355,Undiscovered,,,,,Rare,,"Vermilyx represents the spirit of Summer, which brings with it the warmth of the Sun. Every beat of its wings causes the temperature to increase, rekindling the heat of the Earth.",Legend
152,Pallyx,,,Ground,Ghost,Decay,Autumn Tide,,,,,,,,,0,,,,L,,Genderless,,,,,,,,,,0,5355,Undiscovered,,,,,Rare,,"When the leaves of trees begin to fall, the spirit of Autumn draws near. Pallyx causes flora to come to a rest, preparing them for the harsh Winter months to come.",Legend
153,Ouroska,https://i.imgur.com/5NQE0st.png,http://fav.me/dctg1jr,Steel,Dark,Revolution,Metallify,,,100,137,133,110,100,90,670,,,,L,,Genderless,,,,,,,,,,0,5355,Undiscovered,,9.9,,White,Rare,,"Ouroska wish to abandon old customs and start anew, believing it is the best for humans. Anything that its metal discs shine light on turns into metal, a material for the future.",Legend
154,Boroska,https://i.imgur.com/Dqq3Awy.png,http://fav.me/dctg1jr,Rock,Dark,Stagnant,Petrify,,,100,110,133,90,137,100,670,,,,L,,Genderless,,,,,,,,,,0,5355,Undiscovered,,9.6,,Black,Rare,,"Boroska yearn for the past, and will seek out those willing to follow its ideals. It has the power to turn things into stone, which it uses to cure the land of modern machinery.",Legend
155,Shivatna,https://i.imgur.com/2s11pXH.png,http://fav.me/dctg1jr,Fighting,Fairy,Controller,Balance Holder,,,120,150,85,85,150,80,670,,,,L,,Genderless,,,,,,,,,,0,5355,Undiscovered,,10.5,,Green,Rare,,"Slumbering for centuries, Shivatna is only awakened when all original pieces of Navarite are assembled. Their 6 arms are the only force able to subdue the Legendary Snakes.",Legend
156,Ebonyx,,,Ice,Ghost,Frozen,Winter Tide,,,,,,,,,0,,,,L,,Genderless,,,,,,,,,,0,5355,Undiscovered,,,,,Rare,,"Ebonyx control the reincarnation of all nature, which is essential to life. The brutal Winters that are brought about act as a way to protect these weak plants until Spring arrives.",Legend
157,Kamizzama,https://i.imgur.com/B0BAigS.png,http://fav.me/dd6wi38,Ground,Dragon,Desert Heat,Flame Body,,,76,104,80,119,126,95,600,,,,L,,Genderless,,,,,,,,,,0,5355,Undiscovered,,4.3,,Yellow,Rare,,"Its strange, embellished disc is its real body, manipulating the heated desert sands that builds up the rest of its look. It is hot enough to cook anything almost instantly.",Event
158,,,,,,,,,,,,,,,,0,,,,,,Genderless,,,,,,,,,,0,5355,Undiscovered,,,,,,,,Event
159,,,,,,,,,,,,,,,,0,,,,,,Genderless,,,,,,,,,,0,5355,Undiscovered,,,,,,,,Event
160,Tengyuma,,,Dark,Flying,Shadow,Lightning Rod,,,,,,,,,0,,,,L,,Genderless,,,,,,,,,,0,5355,Undiscovered,,,,,Rare,,"Tengyuma never linger in one place for too long, due to maleficent spirits they bring about. Their feathers naturally attract lightning, which it uses to attack their foes.",Event
161,Navaroc,,,Rock,Psychic,Crystalline,,,,,,,,,,0,,,,L,,Genderless,,,,,,,,,,0,5355,Undiscovered,,,,Green,Rare,,"Navaroc is strange creature from where all Navarite originates. In the past, humans held rituals centered on this monster, where it would bestow them shards of its body.",Event
162,Hajimi,https://i.imgur.com/rz1cRv8.png,http://fav.me/dd9ingo,Psychic,Fairy,Moonlight,Moon Phase,,,100,75,125,75,125,100,600,,,,L,New Moon,Genderless,,,,,,,,,,0,5355,Undiscovered,,,,Black,Rare,,"A single Hajimi is born once in a blue moon, making them quite rare to find. In popular folktales, it is said that a colony of Hajimi live on the far side of the moon.",Event
F,Hajimi,,,Psychic,Fairy,Moonlight,Moon Phase,,,100,125,75,125,75,100,600,,,,L,Full Moon,Genderless,,,,,,,,,,0,5355,Undiscovered,,,,,,,"A single Hajimi is born once in a blue moon, making them quite rare to find. In popular folktales, it is said that a colony of Hajimi live on the far side of the moon.",Event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,Hordemic,https://i.imgur.com/YBeMvs9.png,http://fav.me/dbwghat,Rock,,Bauble,Greedy,,,64,65,109,62,103,65,468,,,,1,,Female50Percent,,,,,,,,,,70,5355,Mineral,,,,Yellow,RoughTerrain,,"Hordemic are master collectors, keeping all sorts of valuables in its body. However, it is very careless, and will accidentally drop some of its treasure when it travels.",Event
E2,Plasmuck,https://i.imgur.com/gWjaa07.png,http://fav.me/dbtrpdm,Poison,Electric,Energy,Corrosion,,,81,72,60,101,66,88,468,,,,1,,Female50Percent,,,,,,,,,,70,5355,Amorphous,,,,Purple,Urban,,"Plasmuck feeds off of the energy from nearby power plants, and then contaminates it with their ooze. If they eat too much, they expend most of it through electrical pulses.",
E3,Raptice,https://i.imgur.com/OxJzuPU.png,http://fav.me/dc8e76j,Rock,Ice,Cold Breath,Refrigerate,,,45,65,45,75,45,75,350,,Basilice,35,2base,,Female50Percent,Erratic,90,0,0,0,2,0,0,150,70,5355,Monster,,1.0,35.6,Black,Grassland,,"Raptice are a nomadic species, never staying in one spot for too long due to the cold temperatures they prefer. They freeze the air around them with every breath.",Event
E4,Basilice,https://i.imgur.com/9P5VA8r.png,http://fav.me/dc8e76j,Rock,Ice,Cold Breath,Refrigerate,,,70,88,70,111,70,101,510,Raptice,,,2final,,Female50Percent,Erratic,180,0,0,0,3,0,0,55,70,5355,Monster,,1.3,70.6,Black,Grassland,,"Due to their predator-like nature, they will always seize the opportunity to track down its foe. By blasting cold chots of air at their target, they eventually slow them down to catch.",
E5,Mosstool,https://i.imgur.com/eaFG33e.png,http://fav.me/ddc0p4l,Rock,Grass,Moss,Safe Ride,,,49,54,72,51,47,45,318,,Chairiot,,2base,,Female50Percent,,,,,,,,,,70,5355,Grass,Mineral,0.4,47.0,Purple,Forest,,"Mosstool look like rocks when it contracts its tentacles. When stepped on accidentally, they will frighteningly extend themselves really high, often tripping unaware trainers.",
E6,Chairiot,https://i.imgur.com/omnKB4X.png,http://fav.me/ddc0p4l,Rock,Grass,Moss,Safe Ride,,,82,92,118,74,70,66,502,Mosstool,,,2final,,Female50Percent,,,,,,,,,,70,5355,Grass,Mineral,1.2,134.7,Purple,Forest,,"With tentacles that can extend 5 times its length, many trainers like to travel on a Chairiot's back due to its all-terrain travel skills. When cut, these tentacles can grow back.",
E7,Pterror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8,Pterror Evo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9,Calameow,https://i.imgur.com/W6yi8nk.png,http://fav.me/ddclzqw,Ghost,,Bad Luck,Misfortune,,,66,64,63,87,65,114,459,,,,1,,Female50Percent,,,,,,,,,,70,5355,Field,,0.7,14.5,Gray,Urban,,"Calameow like to hang around cemetaries, where it is dark and gloomy. Crossing paths with a Calameow can be seen as a sign of misfortune of events to come.",
E10,Iggnit,https://i.imgur.com/Rq5XIAE.png,http://fav.me/db01817,Fire,,Lava Drop,Flame Body,,Anticipation,50,62,47,62,47,31,299,,Kerofin,25,3base,,Female50Percent,Medium,73,0,0,0,1,0,0,215,70,5355,Water 1,,0.2,2.2,Red,RoughTerrain,,"When born, an Iggnit will live their life inside a single pool of lava, until they're ready to leave the brood. Their body is surprisingly hot, causing severe burns when touched.",
E11,Kerofin,https://i.imgur.com/ZUUCJxf.png,http://fav.me/db01817,Fire,,Lava,Flame Body,,Anticipation,71,70,72,76,50,59,398,Iggnit,Inferlotl,40,3mid,,Female50Percent,Medium,172,0,0,0,2,0,0,185,70,5355,Water 1,,0.4,20.6,Red,RoughTerrain,,"Kerofin cruise along the surface of lava, catching prey that may have fallen down their lava pits. Their horns are hot to the touch, making them great skewers.",
E12,Inferlotl,https://i.imgur.com/qhOijta.png,http://fav.me/db01817,Fire,,Lava,Flame Body,,Anticipation,92,84,85,113,68,75,517,Kerofin,,,3final,,Female50Percent,Medium,243,0,0,0,3,0,0,135,70,5355,Water 1,,1.2,49.8,Red,RoughTerrain,,"Inferlotl are able to sense an impending eruption from a volcano with their spikes. When a herd of Inferlotl are on the move, people tend to migrate in the opposite direction.",
E13,Hatrik,https://i.imgur.com/cW1TgeZ.png,http://fav.me/db0ux4q,Psychic,Flying,Magic,Magician,,Magic Bounce,,,,,,,0,,Mantrik,28,2base,,Female50Percent,,,,,,,,,,70,5355,Water 1,,,,Black,Urban,,"Hatrik are mischevious, fond of playing pranks on smaller Pokemon. While not intending much harm, Hatrik are sometimes on the recieving end of an annoyed backlash.",
E14,Mantrik,https://i.imgur.com/uCmZUvt.png,http://fav.me/db0ux4q,Psychic,Flying,Magic,Magician,,Magic Bounce,,,,,,,0,Hatrik,,,2final,,Female50Percent,,,,,,,,,,70,5355,Water 1,,,,Black,Urban,,"Mantrik are able to pick up on tricks very easily, making them great companions to magicians. They are known to allow flight to those that wear them as capes.",
E15,Stalygmy,https://i.imgur.com/cno7PAg.png,http://fav.me/dbd3aif,Rock,Ground,Sparkle,Soundproof,,Sturdy,40,70,70,40,58,20,298,,Boarow,18,3base,,Female50Percent,Parabolic,56,0,0,1,0,0,0,240,70,5355,Mineral,,0.6,15.4,Brown,Cave,,"Stalygmy can eat many types of rocks, which helps the crystal on its head grow. Once it becomes too heavy to lift, it burrows underground to await evolution.",
E16,Boarow,https://i.imgur.com/bSY1EFF.png,http://fav.me/dbd3aif,Rock,Ground,Cluster,Soundproof,,Sturdy,54,87,77,58,58,35,369,Stalygmy,Crystoll,38,3mid,,Female50Percent,Parabolic,137,0,0,2,0,0,0,190,70,5355,Mineral,,1.4,81.6,Brown,Cave,,"The crystals on the head of a Boarow are easily replaceable, able to grow back completely in a few days if one breaks off. If the quality is good, the crystals fetch a good price.",
E17,Crystoll,https://i.imgur.com/uAnfENL.png,http://fav.me/dbd3aif,Rock,Ground,Cluster,Soundproof,,Sturdy,86,110,101,58,87,40,482,Boarow,,,3final,,Female50Percent,Parabolic,227,0,1,3,0,0,0,110,70,5355,Mineral,,2.7,376.0,Brown,Cave,,"Crystoll live in the lowest floors of a cave, where it creates large underground dens the size of cities. Their crystals also emit a bright glow, which it uses for lighting.",
